Stimulus,ElapsedTime,count,Block,LoadLevel,KeyPress,RT,Correct,date,frameRate,expName,session,participant,
Instructions,3.00076079369,,,,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
T,9.01940584183,1,1,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
E,11.0186870098,2,1,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
R,13.0190868378,3,1,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
X,15.019204855,4,1,01230123,1,0.415790081024,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
N,17.0198090076,5,1,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
W,19.0197579861,6,1,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
J,21.0200297832,7,1,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
X,23.020236969,8,1,01230123,1,0.534218072891,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
G,25.0220108032,9,1,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
X,27.0215699673,10,1,01230123,1,0.644690036774,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
C,29.2371997833,11,1,01230123,1,1.20510196686,N,2016_Apr_05_1330,59.8451045858,NBack,001,090,
X,31.0231788158,12,1,01230123,1,0.563251018524,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
A,33.0238199234,13,1,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
D,35.0210959911,14,1,01230123,1,0.533133983612,N,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Instructions,40.0005319118,,,,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
C,46.024116993,1,2,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Z,48.0248057842,2,2,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
W,50.0239779949,3,2,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
T,52.0097219944,4,2,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
T,54.0080089569,5,2,01230123,1,0.393982887268,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
T,56.0085089207,6,2,01230123,1,0.433761835098,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
K,58.0257389545,7,2,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
R,60.0091788769,8,2,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
R,62.0092658997,9,2,01230123,1,0.336668014526,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
S,64.009198904,10,2,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
F,66.0100059509,11,2,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Y,68.0099959373,12,2,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Y,70.0100188255,13,2,01230123,1,0.43968296051,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
L,72.0106508732,14,2,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Instructions,77.0004999638,,,,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
P,83.0120449066,1,3,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
T,85.0131168365,2,3,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
L,87.0131328106,3,3,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
E,89.0129618645,4,3,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
L,91.0128748417,5,3,01230123,1,0.580749988556,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
L,93.0139288902,6,3,01230123,1,0.619580030441,N,2016_Apr_05_1330,59.8451045858,NBack,001,090,
D,95.0141749382,7,3,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
L,97.0144968033,8,3,01230123,1,1.06700706482,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
M,99.0140659809,9,3,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
G,101.01479578,10,3,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
K,103.01481986,11,3,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Z,105.015008926,12,3,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
K,107.015721798,13,3,01230123,1,0.657739162445,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Z,109.015468836,14,3,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Instructions,114.001978874,,,,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
