Stimulus,ElapsedTime,count,Block,LoadLevel,KeyPress,RT,Correct,date,frameRate,expName,session,participant,
Instructions,4.00095701218,,,,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
X,10.0183420181,1,1,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
T,12.0182080269,2,1,01230123,1,1.15161681175,N,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
A,14.018501997,3,1,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
S,16.0185739994,4,1,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
K,18.0189189911,5,1,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
E,20.019603014,6,1,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
P,22.0194129944,7,1,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
X,24.0198400021,8,1,01230123,1,0.938843011856,Y,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
G,26.0199520588,9,1,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
N,28.020318985,10,1,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
X,30.0210158825,11,1,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
W,32.0210599899,12,1,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
X,34.0210409164,13,1,01230123,1,1.25628995895,Y,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
H,36.0216188431,14,1,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
Instructions,42.0004739761,,,,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
T,48.0231950283,1,2,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
S,50.0235710144,2,2,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
S,52.0240340233,3,2,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
W,54.0239188671,4,2,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
W,56.0241160393,5,2,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
P,58.0244288445,6,2,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
H,60.0248129368,7,2,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
J,62.0252988338,8,2,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
R,64.0255138874,9,2,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
D,66.0257248878,10,2,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
D,68.0259130001,11,2,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
N,70.0261719227,12,2,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
N,72.0268509388,13,2,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
K,74.0267329216,14,2,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
Instructions,80.0005178452,,,,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
E,86.0097708702,1,3,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
N,88.0094339848,2,3,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
M,90.0095260143,3,3,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
A,92.0127329826,4,3,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
M,94.0128509998,5,3,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
W,96.0134060383,6,3,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
D,98.0133738518,7,3,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
W,100.013875008,8,3,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
D,102.013982058,9,3,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
K,104.014169931,10,3,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
D,106.014634848,11,3,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
Z,108.014916897,12,3,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
C,110.015143871,13,3,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
L,112.015424967,14,3,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
Instructions,118.000944853,,,,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
C,124.01692605,1,4,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
M,126.017292976,2,4,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
D,128.017976999,3,4,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
H,130.017885923,4,4,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
M,132.018362045,5,4,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
L,134.01849103,6,4,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
V,136.018769026,7,4,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
M,138.019312859,8,4,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
K,140.019181967,9,4,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
F,142.019757986,10,4,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
T,144.019882917,11,4,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
K,146.020071983,12,4,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
F,148.021031857,13,4,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
N,150.020758867,14,4,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
Instructions,156.000752926,,,,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
X,162.022901058,1,5,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
G,164.022526979,2,5,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
H,166.022822857,3,5,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
F,168.023054838,4,5,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
X,170.023576021,5,5,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
D,172.024140835,6,5,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
Z,174.024008036,7,5,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
X,176.02413106,8,5,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
S,178.024679899,9,5,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
A,180.02482295,10,5,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
W,182.025293827,11,5,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
P,184.025581837,12,5,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
X,186.025774956,13,5,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
M,188.025972843,14,5,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
Instructions,194.000711918,,,,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
N,200.027606964,1,6,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
N,202.009089947,2,6,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
A,204.009464025,3,6,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
E,206.009356022,4,6,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
H,208.009415865,5,6,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
H,210.009727001,6,6,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
G,212.012766838,7,6,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
G,214.013391972,8,6,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
T,216.013175011,9,6,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
D,218.013321877,10,6,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
Y,220.011571884,11,6,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
H,222.014134884,12,6,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
H,224.014770031,13,6,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
R,226.014633894,14,6,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
Instructions,232.000517845,,,,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
K,238.016806841,1,7,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
J,240.016602039,2,7,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
K,242.016873837,3,7,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
E,244.017422915,4,7,01230123,,,,2016_Apr_13_1332,59.9455184183,NBack,001,1234,
