Stimulus,ElapsedTime,count,Block,LoadLevel,date,frameRate,expName,session,participant,
Instructions,36.0439706625,,,,2015_May_05_0933,50.1513134003,NBack,001,,
L,42.0537407017,1,1,1,2015_May_05_0933,50.1513134003,NBack,001,,
L,44.0342834573,2,1,1,2015_May_05_0933,50.1513134003,NBack,001,,
D,46.0441028679,3,1,1,2015_May_05_0933,50.1513134003,NBack,001,,
R,48.0339828407,4,1,1,2015_May_05_0933,50.1513134003,NBack,001,,
R,50.0444171988,5,1,1,2015_May_05_0933,50.1513134003,NBack,001,,
R,52.0365638646,6,1,1,2015_May_05_0933,50.1513134003,NBack,001,,
V,54.0267208654,7,1,1,2015_May_05_0933,50.1513134003,NBack,001,,
N,56.0467151603,8,1,1,2015_May_05_0933,50.1513134003,NBack,001,,
P,58.0373154061,9,1,1,2015_May_05_0933,50.1513134003,NBack,001,,
P,60.0272886358,10,1,1,2015_May_05_0933,50.1513134003,NBack,001,,
G,62.0266780769,11,1,1,2015_May_05_0933,50.1513134003,NBack,001,,
S,64.0351864042,12,1,1,2015_May_05_0933,50.1513134003,NBack,001,,
T,66.0449602835,13,1,1,2015_May_05_0933,50.1513134003,NBack,001,,
C,68.0351134444,14,1,1,2015_May_05_0933,50.1513134003,NBack,001,,
Instructions,98.0013834946,,,,2015_May_05_0933,50.1513134003,NBack,001,,
J,104.034421148,1,2,1,2015_May_05_0933,50.1513134003,NBack,001,,
K,106.044316262,2,2,1,2015_May_05_0933,50.1513134003,NBack,001,,
K,108.054921225,3,2,1,2015_May_05_0933,50.1513134003,NBack,001,,
B,110.044565861,4,2,1,2015_May_05_0933,50.1513134003,NBack,001,,
T,112.03266682,5,2,1,2015_May_05_0933,50.1513134003,NBack,001,,
S,114.022590679,6,2,1,2015_May_05_0933,50.1513134003,NBack,001,,
X,116.042586619,7,2,1,2015_May_05_0933,50.1513134003,NBack,001,,
X,118.052639172,8,2,1,2015_May_05_0933,50.1513134003,NBack,001,,
X,120.022325171,9,2,1,2015_May_05_0933,50.1513134003,NBack,001,,
Y,122.042615145,10,2,1,2015_May_05_0933,50.1513134003,NBack,001,,
V,124.02731387,11,2,1,2015_May_05_0933,50.1513134003,NBack,001,,
Z,126.027510258,12,2,1,2015_May_05_0933,50.1513134003,NBack,001,,
P,128.027392864,13,2,1,2015_May_05_0933,50.1513134003,NBack,001,,
P,130.028095034,14,2,1,2015_May_05_0933,50.1513134003,NBack,001,,
Instructions,160.001122924,,,,2015_May_05_0933,50.1513134003,NBack,001,,
D,166.061462379,1,3,1,2015_May_05_0933,50.1513134003,NBack,001,,
J,168.029886117,2,3,1,2015_May_05_0933,50.1513134003,NBack,001,,
J,170.060118381,3,3,1,2015_May_05_0933,50.1513134003,NBack,001,,
L,172.034036601,4,3,1,2015_May_05_0933,50.1513134003,NBack,001,,
X,174.044410616,5,3,1,2015_May_05_0933,50.1513134003,NBack,001,,
X,176.033468282,6,3,1,2015_May_05_0933,50.1513134003,NBack,001,,
X,178.044831369,7,3,1,2015_May_05_0933,50.1513134003,NBack,001,,
Y,180.043824194,8,3,1,2015_May_05_0933,50.1513134003,NBack,001,,
C,182.043736971,9,3,1,2015_May_05_0933,50.1513134003,NBack,001,,
N,184.028291423,10,3,1,2015_May_05_0933,50.1513134003,NBack,001,,
E,186.048428894,11,3,1,2015_May_05_0933,50.1513134003,NBack,001,,
X,188.037396594,12,3,1,2015_May_05_0933,50.1513134003,NBack,001,,
X,190.030479121,13,3,1,2015_May_05_0933,50.1513134003,NBack,001,,
G,192.030218002,14,3,1,2015_May_05_0933,50.1513134003,NBack,001,,
Instructions,222.001159129,,,,2015_May_05_0933,50.1513134003,NBack,001,,
W,228.061994492,1,4,1,2015_May_05_0933,50.1513134003,NBack,001,,
W,230.031718891,2,4,1,2015_May_05_0933,50.1513134003,NBack,001,,
L,232.021450749,3,4,1,2015_May_05_0933,50.1513134003,NBack,001,,
L,234.021777149,4,4,1,2015_May_05_0933,50.1513134003,NBack,001,,
V,236.021471046,5,4,1,2015_May_05_0933,50.1513134003,NBack,001,,
J,238.031687073,6,4,1,2015_May_05_0933,50.1513134003,NBack,001,,
T,240.04220646,7,4,1,2015_May_05_0933,50.1513134003,NBack,001,,
T,242.042157089,8,4,1,2015_May_05_0933,50.1513134003,NBack,001,,
R,244.033836921,9,4,1,2015_May_05_0933,50.1513134003,NBack,001,,
H,246.0436492,10,4,1,2015_May_05_0933,50.1513134003,NBack,001,,
B,248.035898997,11,4,1,2015_May_05_0933,50.1513134003,NBack,001,,
M,250.026652843,12,4,1,2015_May_05_0933,50.1513134003,NBack,001,,
M,252.032339872,13,4,1,2015_May_05_0933,50.1513134003,NBack,001,,
G,254.033952669,14,4,1,2015_May_05_0933,50.1513134003,NBack,001,,
