Stimulus,ElapsedTime,count,Block,LoadLevel,KeyPress,RT,Correct,date,frameRate,expName,session,participant,
Instructions,4.00753903389,,,,,,,2016_Apr_13_0849,60.0006580425,NBack,001,899,
D,10.0181419849,1,1,1,,,,2016_Apr_13_0849,60.0006580425,NBack,001,899,
D,12.0179579258,2,1,1,1,1.38262701035,Y,2016_Apr_13_0849,60.0006580425,NBack,001,899,
D,14.0183260441,3,1,1,1,0.51048707962,Y,2016_Apr_13_0849,60.0006580425,NBack,001,899,
J,16.0184590816,4,1,1,,,,2016_Apr_13_0849,60.0006580425,NBack,001,899,
K,18.0355250835,5,1,1,,,,2016_Apr_13_0849,60.0006580425,NBack,001,899,
E,20.0212891102,6,1,1,,,,2016_Apr_13_0849,60.0006580425,NBack,001,899,
B,22.0193359852,7,1,1,,,,2016_Apr_13_0849,60.0006580425,NBack,001,899,
B,24.019644022,8,1,1,,,,2016_Apr_13_0849,60.0006580425,NBack,001,899,
W,26.0198729038,9,1,1,,,,2016_Apr_13_0849,60.0006580425,NBack,001,899,
W,28.0200090408,10,1,1,,,,2016_Apr_13_0849,60.0006580425,NBack,001,899,
N,30.0205681324,11,1,1,,,,2016_Apr_13_0849,60.0006580425,NBack,001,899,
T,32.0206100941,12,1,1,,,,2016_Apr_13_0849,60.0006580425,NBack,001,899,
L,34.0209181309,13,1,1,1,0.615954875946,N,2016_Apr_13_0849,60.0006580425,NBack,001,899,
M,36.0210831165,14,1,1,1,0.559724092484,N,2016_Apr_13_0849,60.0006580425,NBack,001,899,
