Word,Phono_N,IMG,ITI,NoF,FAM,LgSUBTLWF,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
toad,23,591,1.1,23,516,2.464,690,4,568,1245,n,45,5,1,0,44,44,44,,,left,1.35169696808,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
shovel,3,538,1.48,15,528,2.544,1385,6,581,1130,n,46,1,5,0,45,45,45,,,down,0.720878839493,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
spider,4,597,1.21,16,526,2.713,2305,6,607,1858,n,47,0,3,0,46,46,46,,,left,0.637227058411,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
sardine,0,592,2.98,11,446,2.182,3170,7,606,456,y,48,0,4,0,47,47,47,,,left,0.701614141464,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
bottle,10,619,1.74,24,591,3.437,1752,6,591,2328,y,49,2,5,0,48,48,48,,,down,0.837394952774,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
orange,2,626,2.23,16,567,2.711,1803,6,601,2816,y,50,1,6,0,49,49,49,,,left,0.568058013916,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
tomato,0,610,1.47,13,574,2.827,1454,6,662,1459,y,51,0,2,0,50,50,50,,,left,0.701494932175,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
vine,22,564,2.53,8,411,2.48,1065,4,601,1655,y,52,12,1,0,51,51,51,,,left,1.03469395638,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
blouse,3,595,0.88,15,562,2.283,1127,6,640,651,y,53,0,1,0,52,52,52,,,down,0.818540096283,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
pepper,6,587,3.45,12,554,2.653,2531,6,591,1956,n,54,2,6,0,53,53,53,,,left,0.601526975632,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
helmet,0,620,2.62,12,528,2.685,1415,6,602,1987,n,55,0,2,0,54,54,54,,,down,0.684703111649,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
cloak,13,518,2.31,8,423,2.188,778,5,543,1572,n,56,2,3,0,55,55,55,,,down,0.95322394371,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
limousine,0,595,2.31,19,505,1.909,2292,9,624,1229,y,57,0,1,0,56,56,56,,,down,1.11711788177,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
willow,10,565,1.92,10,425,2.504,1532,6,589,1642,n,58,3,2,0,57,57,57,,,left,1.27092003822,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
broom,8,608,1.17,13,547,2.387,1476,5,613,1238,n,59,4,5,0,58,58,58,,,down,0.901656866074,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
wand,11,513,1.31,10,381,2.199,1476,4,570,1312,n,60,9,4,0,59,59,59,,,down,0.818227052689,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
shirt,15,612,1.85,18,612,3.374,1121,5,616,2057,n,61,5,2,0,60,60,60,,,down,0.88774895668,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
stove,6,592,2.57,13,525,2.589,1281,5,591,1379,n,62,7,2,0,61,61,61,,,down,1.068379879,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
door,35,599,3.35,13,630,4.173,955,4,606,2943,n,63,6,5,0,62,62,62,,,down,0.585046052933,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
mat,31,537,2.22,13,490,2.253,1237,3,513,1527,n,64,18,10,0,63,63,63,,,None,,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
bench,7,555,1.82,11,488,2.694,1553,5,614,2109,n,65,5,9,0,64,64,64,,,None,,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
leopard,6,635,2.43,9,431,1.663,1030,7,595,1639,y,66,2,2,0,65,65,65,,,down,1.37053108215,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
pear,32,590,3.24,13,567,2.654,1647,4,634,1033,y,67,16,2,0,66,66,66,,,left,0.718363046646,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
cabbage,0,573,1.48,16,504,2.173,1324,7,611,1375,n,68,0,4,0,67,67,67,,,left,1.00374603271,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
shed,18,602,1.98,12,524,2.749,903,4,611,2144,n,69,6,6,0,68,68,68,,,down,0.804615974426,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
dandelion,0,579,2.42,13,513,1.204,2997,9,558,965,n,70,0,1,0,69,69,69,,,left,1.55164718628,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
pot,30,598,2.28,10,577,2.829,660,3,584,2109,n,71,17,10,0,70,70,70,,,None,,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
sofa,3,597,1.47,18,564,3.554,377,4,629,1162,y,72,3,1,0,71,71,71,,,down,1.23509502411,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
cage,15,585,2.39,13,487,1.255,962,4,593,2152,y,73,13,6,0,72,72,72,,,down,1.17133998871,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
peach,25,613,0.86,15,536,2.037,1816,5,617,1540,y,74,7,5,0,73,73,73,,,left,0.970744848251,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
umbrella,0,592,2.33,11,511,2.583,1208,8,606,1961,n,75,0,4,0,74,74,74,,,down,0.736931085587,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
axe,6,597,2.07,16,461,2.398,46,3,623,1856,y,76,9,3,0,75,75,75,,,left,1.61845803261,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
lamp,9,575,3.73,14,578,2.61,923,4,615,1835,y,77,10,2,0,76,76,76,,,None,,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
sparrow,0,583,0.99,13,523,2.127,1213,7,629,1480,n,78,0,2,0,77,77,77,,,None,,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
birch,21,561,1.84,10,518,1.903,915,5,620,1697,n,79,2,5,0,78,78,78,,,left,1.40431904793,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
worm,10,578,3.14,11,498,2.714,1103,4,611,1519,n,80,9,5,0,79,79,79,,,None,,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
lettuce,3,608,4.0,18,565,2.82,1231,7,579,1239,y,81,0,3,0,80,80,80,,,left,1.51851391792,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
hawk,16,591,1.71,13,504,2.814,470,4,623,1903,n,82,4,6,0,81,81,81,,,left,0.887259960175,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
ribbon,3,563,1.91,8,480,2.241,915,6,600,1700,y,83,1,4,0,82,82,82,,,down,0.637241840363,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
cathedral,0,599,1.81,13,440,2.176,2861,9,553,2379,y,84,0,3,0,83,83,83,,,None,,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
hamster,0,581,2.42,14,467,2.041,2583,7,599,1240,n,85,0,1,0,84,84,84,,,left,0.687779903412,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
robin,3,615,2.28,17,487,3.105,1064,5,637,2451,n,86,1,2,0,85,85,85,,,left,1.63748598099,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
pig,20,635,3.0,22,509,3.3,522,3,614,2080,n,87,12,9,0,86,86,86,,,left,0.687922954559,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
jacket,2,611,2.32,15,596,3.232,1459,6,635,1849,n,88,2,7,0,87,87,87,,,down,1.26832008362,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
beetle,6,640,2.47,13,503,2.025,1619,6,619,1397,n,89,0,5,0,88,88,88,,,left,0.687477111816,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
clam,12,541,2.44,8,486,2.303,1066,4,564,765,n,90,7,4,0,89,89,89,,,left,0.651557922363,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
whale,5,623,2.5,12,500,2.76,1289,5,610,1810,n,91,3,3,0,90,90,90,,,left,1.13784503937,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
rabbit,2,611,1.42,14,523,3.029,937,6,635,2171,n,92,0,4,0,91,91,91,,,left,0.670608997345,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
ant,9,613,2.01,12,511,2.438,790,3,604,1565,n,93,7,1,0,92,92,92,,,left,0.634714126587,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
sheep,27,596,4.76,21,507,2.836,1149,5,622,2439,n,94,7,3,0,93,93,93,,,left,1.60406303406,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
sleigh,13,608,2.73,9,531,2.225,704,6,613,1173,n,95,0,2,0,94,94,94,,,down,0.987636089325,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
pillow,6,624,2.35,13,602,2.765,1550,6,613,1512,n,96,2,2,0,95,95,95,,,down,1.02061009407,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
tiger,6,606,3.25,24,513,2.707,1929,5,611,2338,y,97,4,2,0,96,96,96,,,left,0.570545911789,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
missile,7,602,1.78,17,504,1.82,2432,7,597,2059,y,98,1,2,0,97,97,97,,,down,0.86812710762,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
shrimp,2,618,1.51,13,546,2.648,1140,6,629,1570,n,99,1,4,0,98,98,98,,,left,1.08491182327,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
camel,6,561,2.66,15,421,2.716,1493,5,597,1633,y,100,1,1,0,99,99,99,,,left,0.601433992386,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
