Word,IMG,NoF,freqQ,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,Phono_N,Richness,ITI,LgSUBTLWF,Corr,FAM,Animate,n,key_resp_3.corr_mean,key_resp_3.corr_raw,key_resp_3.corr_std,key_resp_3.keys_raw,key_resp_3.rt_mean,key_resp_3.rt_raw,key_resp_3.rt_std,order
axe,597,16,3,46,3,623,1856,y,2,9,3,6,L,2.54,2.398,down,461,A,1.0,1.0,1.0,0.0,'down',1.06829810143,1.068298101425171,0.0,0.0
worm,578,11,4,1103,4,611,1519,n,3,9,5,10,H,2.4,2.714,left,498,B,1.0,0.0,0.0,0.0,'down',0.454216957092,0.45421695709228516,0.0,1.0
missile,602,17,1,2432,7,597,2059,y,4,1,2,7,L,1.95,1.82,down,504,A,1.0,0.0,0.0,0.0,,,,,2.0
cabbage,573,16,2,1324,7,611,1375,n,5,0,4,0,H,1.46,2.173,left,504,B,1.0,0.0,0.0,0.0,'down',1.30182695389,1.3018269538879395,0.0,3.0

extraInfo
date,2018_Feb_21_0907
frameRate,59.9815234832
expName,LexicalDecision
session,001
participant,
