Word,IMG,NoF,freqQ,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,Phono_N,Richness,ITI,LgSUBTLWF,Corr,FAM,Animate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,expName,frameRate,ParticipantID,
,,,,,,,,,,,,,,,,,,,,,,,5,4.87286901474,,,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
spider,597,16,4,2305,6,607,1858,n,1,0,3,4,L,3.84,2.713,left,526,B,0,0,0,0,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
axe,597,16,3,46,3,623,1856,y,2,9,3,6,L,2.54,2.398,down,461,A,0,1,1,1,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
worm,578,11,4,1103,4,611,1519,n,3,9,5,10,H,2.4,2.714,left,498,B,0,2,2,2,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
missile,602,17,1,2432,7,597,2059,y,4,1,2,7,L,1.95,1.82,down,504,A,0,3,3,3,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
cabbage,573,16,2,1324,7,611,1375,n,5,0,4,0,H,1.46,2.173,left,504,B,0,4,4,4,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
skunk,652,12,2,530,5,648,1129,n,6,3,5,3,H,0.93,2.223,left,519,B,0,5,5,5,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
ribbon,563,8,2,915,6,600,1700,y,7,1,4,3,H,0.9,2.241,down,480,A,0,6,6,6,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
clam,541,8,3,1066,4,564,765,n,8,7,4,12,H,2.95,2.303,left,486,B,0,7,7,7,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
cathedral,599,13,2,2861,9,553,2379,y,9,0,3,0,L,0.75,2.176,down,440,A,0,8,8,8,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
door,599,13,5,955,4,606,2943,n,10,6,5,35,H,1.41,4.173,down,630,A,0,9,9,9,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
dove,616,10,3,732,4,588,1816,n,11,13,5,16,H,1.64,2.455,left,415,B,0,10,10,10,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
piano,630,13,1,974,5,615,2509,y,12,0,4,0,H,2.72,2.13,down,545,A,0,11,11,11,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
wand,513,10,2,1476,4,570,1312,n,13,9,4,11,H,1.99,2.199,down,381,A,0,12,12,12,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
shovel,538,15,3,1385,6,581,1130,n,14,1,5,3,H,3.31,2.544,down,528,A,0,13,13,13,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
rattle,554,9,2,2036,6,549,1115,n,15,3,5,12,H,2.17,2.238,down,448,A,0,14,14,14,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
brush,570,12,4,921,5,589,2029,y,16,3,14,4,H,1.23,2.747,down,579,A,0,15,15,15,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
brick,574,9,4,1385,5,610,2384,y,17,6,2,12,L,2.2,2.761,down,529,A,0,16,16,16,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
bottle,619,24,5,1752,6,591,2328,y,18,2,5,10,H,1.72,3.437,down,591,A,0,17,17,17,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
tent,593,11,2,1316,4,608,1939,y,19,16,2,21,L,1.98,2.033,down,521,A,0,18,18,18,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
moth,577,8,2,947,4,550,1341,n,20,4,1,8,L,2.04,2.068,left,496,B,0,19,19,19,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
desk,574,16,5,1461,4,583,2094,n,21,3,1,3,L,1.81,3.35,down,583,A,0,20,20,20,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
oven,599,14,4,635,4,593,1712,n,22,5,1,1,L,2.44,2.657,down,577,A,0,21,21,21,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
cabin,582,10,1,1496,5,596,2197,y,23,0,4,0,H,1.24,1.903,down,523,A,0,22,22,22,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
bayonet,548,7,2,1303,7,600,1262,y,24,0,2,0,L,4.11,2.164,down,293,A,0,23,23,23,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
apple,637,19,5,968,5,620,2493,n,25,2,2,4,L,2.86,3.082,left,598,B,0,24,24,24,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
oak,590,11,3,76,3,588,2425,n,26,4,2,13,L,3.72,2.458,left,515,B,0,25,25,25,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
fox,607,17,5,373,3,605,2717,n,27,6,10,12,H,1.98,3.043,left,501,B,0,26,26,26,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
sheep,596,21,5,1149,5,622,2439,n,28,7,3,27,L,1.41,2.836,left,507,B,0,27,27,27,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
rocket,612,12,3,1507,6,645,2351,y,29,7,7,4,H,2.29,2.324,down,525,A,0,28,28,28,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
lettuce,608,18,5,1231,7,579,1239,y,30,0,3,3,L,1.45,2.82,left,565,B,0,29,29,29,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
olive,578,17,2,641,5,618,2016,y,31,1,6,0,H,1.2,2.121,left,444,B,0,30,30,30,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
peach,613,15,2,1816,5,617,1540,y,32,7,5,25,H,2.08,2.037,left,536,B,0,31,31,31,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
crow,578,13,3,1334,4,590,1926,n,33,6,9,6,H,0.4,2.358,left,490,B,0,32,32,32,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
pigeon,610,14,1,1155,6,609,1507,y,34,0,1,0,L,2.02,1.653,left,499,B,0,33,33,33,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
beetle,640,13,1,1619,6,619,1397,n,35,0,5,6,H,1.86,2.025,left,503,B,0,34,34,34,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
orange,626,16,4,1803,6,601,2816,y,36,1,6,2,H,1.29,2.711,left,567,B,0,35,35,35,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
sparrow,583,13,2,1213,7,629,1480,n,37,0,2,0,L,1.98,2.127,left,523,B,0,36,36,36,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
stove,592,13,3,1281,5,591,1379,n,38,7,2,6,L,1.14,2.589,down,525,A,0,37,37,37,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
lemon,632,17,4,1017,5,608,1773,n,39,1,5,4,H,1.08,2.788,left,518,B,0,38,38,38,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
flea,606,17,2,924,4,625,1347,n,40,5,1,16,L,2.0,2.23,left,515,B,0,39,39,39,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
balloon,583,18,3,2168,7,623,1903,y,41,0,4,4,H,1.49,2.646,down,520,A,0,40,40,40,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
pig,635,22,5,522,3,614,2080,n,42,12,9,20,H,3.49,3.3,left,509,B,0,41,41,41,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
accordion,576,9,1,2051,9,586,1277,y,43,0,1,0,L,0.25,1.833,down,394,A,0,42,42,42,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
pot,598,10,5,660,3,584,2109,n,44,17,10,30,H,1.35,2.829,down,577,A,0,43,43,43,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
medal,529,14,1,903,5,571,2429,y,45,3,1,12,L,1.1,2.009,down,494,A,0,44,44,44,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
camel,561,15,4,1493,5,597,1633,y,46,1,1,6,L,1.48,2.716,left,421,B,0,45,45,45,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
pillow,624,13,4,1550,6,613,1512,n,47,2,2,6,L,1.21,2.765,down,602,A,0,46,46,46,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
