Word,IMG,NoF,freqQ,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,Phono_N,Richness,ITI,LgSUBTLWF,Corr,FAM,Animate,n,key_resp_3.corr_mean,key_resp_3.corr_raw,key_resp_3.corr_std,key_resp_3.keys_raw,key_resp_3.rt_mean,key_resp_3.rt_raw,key_resp_3.rt_std,order
beetle,640,13,1,1619,6,619,1397,n,35,0,5,6,H,1.86,2.025,left,503,B,1.0,1.0,1.0,0.0,'left',0.601529121399,0.6015291213989258,0.0,34.0
orange,626,16,4,1803,6,601,2816,y,36,1,6,2,H,1.29,2.711,left,567,B,1.0,1.0,1.0,0.0,'left',0.451376199722,0.45137619972229004,0.0,35.0
sparrow,583,13,2,1213,7,629,1480,n,37,0,2,0,L,1.98,2.127,left,523,B,1.0,1.0,1.0,0.0,'left',0.501717805862,0.5017178058624268,0.0,36.0
stove,592,13,3,1281,5,591,1379,n,38,7,2,6,L,1.14,2.589,down,525,A,1.0,1.0,1.0,0.0,'down',0.754108905792,0.7541089057922363,0.0,37.0
lemon,632,17,4,1017,5,608,1773,n,39,1,5,4,H,1.08,2.788,left,518,B,1.0,1.0,1.0,0.0,'left',0.567979097366,0.567979097366333,0.0,38.0
flea,606,17,2,924,4,625,1347,n,40,5,1,16,L,2.0,2.23,left,515,B,1.0,1.0,1.0,0.0,'left',0.584867954254,0.5848679542541504,0.0,39.0
balloon,583,18,3,2168,7,623,1903,y,41,0,4,4,H,1.49,2.646,down,520,A,1.0,1.0,1.0,0.0,'down',0.703824996948,0.7038249969482422,0.0,40.0
pig,635,22,5,522,3,614,2080,n,42,12,9,20,H,3.49,3.3,left,509,B,1.0,1.0,1.0,0.0,'left',0.61821603775,0.6182160377502441,0.0,41.0
accordion,576,9,1,2051,9,586,1277,y,43,0,1,0,L,0.25,1.833,down,394,A,1.0,1.0,1.0,0.0,'down',0.668093919754,0.6680939197540283,0.0,42.0
pot,598,10,5,660,3,584,2109,n,44,17,10,30,H,1.35,2.829,down,577,A,1.0,1.0,1.0,0.0,'down',0.634740114212,0.6347401142120361,0.0,43.0
medal,529,14,1,903,5,571,2429,y,45,3,1,12,L,1.1,2.009,down,494,A,1.0,1.0,1.0,0.0,'down',0.818550109863,0.8185501098632812,0.0,44.0
camel,561,15,4,1493,5,597,1633,y,46,1,1,6,L,1.48,2.716,left,421,B,1.0,1.0,1.0,0.0,'left',1.18735694885,1.187356948852539,0.0,45.0
pillow,624,13,4,1550,6,613,1512,n,47,2,2,6,L,1.21,2.765,down,602,A,1.0,1.0,1.0,0.0,'down',0.751667976379,0.7516679763793945,0.0,46.0
pear,590,13,4,1647,4,634,1033,y,48,16,2,32,L,2.98,2.654,left,567,B,1.0,1.0,1.0,0.0,'left',0.651635885239,0.6516358852386475,0.0,47.0
birch,561,10,1,915,5,620,1697,n,49,2,5,21,H,1.74,1.903,left,518,B,1.0,1.0,1.0,0.0,'left',0.669435977936,0.669435977935791,0.0,48.0
harp,621,8,1,1500,4,591,1614,y,50,6,5,8,H,2.23,2.107,down,430,A,1.0,1.0,1.0,0.0,'down',0.668802976608,0.6688029766082764,0.0,49.0
rabbit,611,14,5,937,6,635,2171,n,51,0,4,2,H,1.47,3.029,left,523,B,1.0,1.0,1.0,0.0,'left',0.853728055954,0.8537280559539795,0.0,50.0
blouse,595,15,3,1127,6,640,651,y,52,0,1,3,L,2.53,2.283,down,562,A,1.0,1.0,1.0,0.0,'down',0.770899772644,0.770899772644043,0.0,51.0
sleigh,608,9,2,704,6,613,1173,n,53,0,2,13,L,0.88,2.225,down,531,A,1.0,1.0,1.0,0.0,'down',1.40384793282,1.4038479328155518,0.0,52.0
eagle,601,17,1,778,5,616,2513,y,54,0,5,5,H,3.45,1.851,left,465,B,1.0,1.0,1.0,0.0,'left',0.821009159088,0.8210091590881348,0.0,53.0
