Word,IMG,NoF,freqQ,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,Phono_N,Richness,ITI,LgSUBTLWF,Corr,FAM,Animate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,5,4.56942391396,,,,2018_Feb_21_0907,59.9815234832,LexicalDecision,001,,
axe,597,16,3,46,3,623,1856,y,2,9,3,6,L,2.54,2.398,down,461,A,0,0,0,0,,,down,1,1.06829810143,2018_Feb_21_0907,59.9815234832,LexicalDecision,001,,
worm,578,11,4,1103,4,611,1519,n,3,9,5,10,H,2.4,2.714,left,498,B,0,1,1,1,,,down,0,0.454216957092,2018_Feb_21_0907,59.9815234832,LexicalDecision,001,,
missile,602,17,1,2432,7,597,2059,y,4,1,2,7,L,1.95,1.82,down,504,A,0,2,2,2,,,None,0,,2018_Feb_21_0907,59.9815234832,LexicalDecision,001,,
cabbage,573,16,2,1324,7,611,1375,n,5,0,4,0,H,1.46,2.173,left,504,B,0,3,3,3,,,down,0,1.30182695389,2018_Feb_21_0907,59.9815234832,LexicalDecision,001,,
