Word,IMG,NoF,freqQ,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,Phono_N,Richness,ITI,LgSUBTLWF,Corr,FAM,Animate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,expName,frameRate,ParticipantID,
robin,615,17,5,1064,5,637,2451,n,56,1,2,3,L,2.31,3.105,left,487,B,0,55,55,55,,,left,1,0.537559986115,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
helmet,620,12,4,1415,6,602,1987,n,57,0,2,0,L,2.31,2.685,down,528,A,0,56,56,56,,,down,1,0.634845972061,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
willow,565,10,3,1532,6,589,1642,n,58,3,2,10,L,1.92,2.504,left,425,B,0,57,57,57,,,left,1,0.651759147644,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
cherry,582,12,3,1409,6,611,2035,y,59,2,5,16,H,1.17,2.292,left,514,B,0,58,58,58,,,left,1,0.637606859207,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
ant,613,12,3,790,3,604,1565,n,60,7,1,9,L,1.31,2.438,left,511,B,0,59,59,59,,,left,1,0.701378107071,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
tiger,606,24,4,1929,5,611,2338,y,61,4,2,6,L,1.85,2.707,left,513,B,0,60,60,60,,,left,1,0.537211894989,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
snail,577,9,1,700,5,579,1111,n,62,1,3,3,L,2.57,1.959,left,489,B,0,61,61,61,,,left,1,0.601675987244,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
emerald,602,12,1,1346,7,613,1791,y,63,0,3,0,L,3.35,1.756,down,457,A,0,62,62,62,,,down,1,0.718213796616,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
chain,559,11,2,1568,5,595,2915,y,64,1,11,28,H,2.22,2.263,down,513,A,0,63,63,63,,,down,1,0.702767133713,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
hawk,591,13,4,470,4,623,1903,n,65,4,6,16,H,1.82,2.814,left,504,B,0,64,64,64,,,left,1,0.668151140213,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
shirt,612,18,5,1121,5,616,2057,n,66,5,2,15,L,2.43,3.374,down,612,A,0,65,65,65,,,down,1,0.63390994072,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
shrimp,618,13,3,1140,6,629,1570,n,67,1,4,2,H,3.24,2.648,left,546,B,0,66,66,66,,,left,1,0.968128919601,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
broom,608,13,3,1476,5,613,1238,n,68,4,5,8,H,1.48,2.387,down,547,A,0,67,67,67,,,down,1,0.636313199997,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
canary,533,15,5,1877,6,577,1732,y,69,0,5,0,H,1.98,3.595,left,411,B,0,68,68,68,,,left,1,0.570402860641,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
pepper,587,12,4,2531,6,591,1956,n,70,2,6,6,H,2.42,2.653,left,554,B,0,69,69,69,,,left,1,0.634769916534,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
leopard,635,9,1,1030,7,595,1639,y,71,2,2,6,L,2.28,1.663,left,431,B,0,70,70,70,,,left,1,0.634097099304,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
pencil,607,16,4,1612,6,617,1602,n,72,0,5,1,H,1.47,2.702,down,598,A,0,71,71,71,,,down,1,0.686617136002,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
dandelion,579,13,1,2997,9,558,965,n,73,0,1,0,L,2.39,1.204,left,513,B,0,72,72,72,,,left,1,0.735117912292,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
