,Trial01,Trial02,Trial03,Trial04,Trial05,Trial06,,
THROW,5,1,1,1,1,1,THROW
LILY,0,2,2,2,2,3,LILY
FILM,4,0,3,3,3,4,FILM
DISCREET,0,3,4,0,11,11,DISCREET
LOFT,3,4,5,5,4,5,LOFT
BEEF,0,5,6,6,5,6,BEEF
STREET,2,6,0,7,6,7,STREET
HELMET,0,0,0,11,0,12,HELMET
SNAKE,1,0,7,8,7,0,SNAKE
DUG,0,8,9,0,9,9,DUG
PACK,6,0,0,10,10,10,PACK
TIN,0,0,8,9,8,8,TIN
