Word,TextColor,Congruency,CorrColor,CorrWord,ShapeColor
Blue,Yellow,Incon,b,m,"[1,1,-1]"
Yellow,Yellow,Con,b,b,"[1,1,-1]"
Blue,Green,Incon,n,m,"[-1,0.6,-1]"
Green,Yellow,Incon,b,n,"[1,1,-1]"
Red,Red,Con,v,v,"[1,-1,-1]"
Green,Blue,Incon,m,n,"[-1,-1,1]"
Red,Blue,Incon,m,v,"[-1,-1,1]"
Green,Green,Con,n,n,"[-1,0.6,-1]"
Green,Red,Incon,v,n,"[1,-1,-1]"
Blue,Blue,Con,m,m,"[-1,-1,1]"
