Trial,Load,Resp,RT,CorrectRT,ProbeType,ProbeLoc,ProbeList
1,1,0,-99.000,0.0000,1, 11,11,
2,1,1,1.356,1.3562,1, 6,6,
3,2,1,0.610,0.6101,0, 9,22,21,
4,2,0,0.906,0.0000,0, 11,19,22,
5,1,1,0.514,0.5138,1, 28,28,
6,1,1,0.586,0.5864,1, 20,20,
7,1,1,0.354,0.3544,0, 31,5,
8,2,1,0.714,0.7145,1, 30,30,28,
9,2,0,0.498,0.0000,0, 23,11,2,
UserEscape
NumTrials,NumReversals,Capacity
9,4,1.5000
