Stimulus,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6,Choice7,Choice8,Corr,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,StartPractice.keys,StartPractice.rt,GetReadyResp.keys,GetReadyResp.rt,key_resp_2.keys,key_resp_2.corr,ElapsedTime,key_resp_2.rt,session,Participant ID,date,expName,frameRate,
,,,,,,,,,,,,,,return,1.0384278999990784,,,,,,,01,9999999,2023-02-27_10h33.18.617,Matrices,59.99988000041766,
,,,,,,,,,,,,,,,,return,0.7840327000012621,,,,,01,9999999,2023-02-27_10h33.18.617,Matrices,59.99988000041766,
../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix1Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix1Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix1Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix1Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix1Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix1Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix1Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix1Choice8.bmp,2,0,0,0,0,,,,,2,1,6.646298600000591,6.553742599999168,01,9999999,2023-02-27_10h33.18.617,Matrices,59.99988000041766,
../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix2Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix2Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix2Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix2Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix2Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix2Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix2Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix2Choice8.bmp,5,0,1,1,1,,,,,2,0,8.196058200001062,1.0112318999999843,01,9999999,2023-02-27_10h33.18.617,Matrices,59.99988000041766,
../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix3Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix3Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix3Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix3Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix3Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix3Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix3Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix3Choice8.bmp,7,0,2,2,2,,,,,3,0,10.312777500001175,1.559364499998992,01,9999999,2023-02-27_10h33.18.617,Matrices,59.99988000041766,
../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix4Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix4Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix4Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix4Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix4Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix4Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix4Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/AltBMatrix4Choice8.bmp,2,0,3,3,3,,,,,1,0,11.962604100001045,1.0833045999988826,01,9999999,2023-02-27_10h33.18.617,Matrices,59.99988000041766,
