StartPractice.keys,StartPractice.rt,GetReadyResp.keys,GetReadyResp.rt,Participant ID,date,expName,session,frameRate,
return,0.478662967682,,,9999999,2018_Nov_06_2036,Matrices,01,60.0337217924,
,,return,0.453383922577,9999999,2018_Nov_06_2036,Matrices,01,60.0337217924,
