StartPractice.keys,StartPractice.rt,GetReadyResp.keys,GetReadyResp.rt,Participant ID,date,expName,session,frameRate,
space,1.53212690353,,,9999999,2018_Nov_06_2035,Matrices,01,59.9962809007,
,,space,0.753866910934,9999999,2018_Nov_06_2035,Matrices,01,59.9962809007,
