StartPractice.keys,StartPractice.rt,GetReadyResp.keys,GetReadyResp.rt,Participant ID,date,expName,session,frameRate,
return,0.644238948822,,,9999999,2018_Nov_06_2036,Matrices,01,59.9995422398,
,,return,0.484120845795,9999999,2018_Nov_06_2036,Matrices,01,59.9995422398,
