trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Choice8,Stimulus,Choice5,Choice6,Choice7,Choice1,Choice2,Choice3,Choice4,Corr,StartPractice.keys,StartPractice.rt,GetReadyResp.keys,GetReadyResp.rt,Participant ID,date,expName,session,frameRate,
,,,,,,,,,,,,,,return,0.478665828705,,,9999999,2018_Nov_06_1451,Matrices,01,59.9908747248,
,,,,,,,,,,,,,,,,return,0.352672100067,9999999,2018_Nov_06_1451,Matrices,01,59.9908747248,
