9.2163 	EXP 	window1: blendMode = 'avg'
9.2326 	EXP 	window1: blendMode = 'avg'
9.2493 	EXP 	window1: blendMode = 'avg'
9.2659 	EXP 	window1: blendMode = 'avg'
9.2825 	EXP 	window1: blendMode = 'avg'
9.2991 	EXP 	window1: blendMode = 'avg'
9.3161 	EXP 	window1: blendMode = 'avg'
9.3323 	EXP 	window1: blendMode = 'avg'
9.3489 	EXP 	window1: blendMode = 'avg'
9.3655 	EXP 	window1: blendMode = 'avg'
9.3828 	EXP 	window1: blendMode = 'avg'
9.3994 	EXP 	window1: blendMode = 'avg'
9.4162 	EXP 	window1: blendMode = 'avg'
9.4327 	EXP 	window1: blendMode = 'avg'
9.4493 	EXP 	window1: blendMode = 'avg'
9.4661 	EXP 	window1: blendMode = 'avg'
9.4830 	EXP 	window1: blendMode = 'avg'
9.4994 	EXP 	window1: blendMode = 'avg'
9.5162 	EXP 	window1: blendMode = 'avg'
9.5327 	EXP 	window1: blendMode = 'avg'
9.5494 	EXP 	window1: blendMode = 'avg'
9.5660 	EXP 	window1: blendMode = 'avg'
9.5828 	EXP 	window1: blendMode = 'avg'
9.5994 	EXP 	window1: blendMode = 'avg'
9.6161 	EXP 	window1: blendMode = 'avg'
9.6327 	EXP 	window1: blendMode = 'avg'
9.6493 	EXP 	window1: blendMode = 'avg'
9.6661 	EXP 	window1: blendMode = 'avg'
9.6831 	EXP 	window1: blendMode = 'avg'
9.6994 	EXP 	window1: blendMode = 'avg'
9.7163 	EXP 	window1: blendMode = 'avg'
9.7327 	EXP 	window1: blendMode = 'avg'
9.7494 	EXP 	window1: blendMode = 'avg'
9.7664 	EXP 	window1: blendMode = 'avg'
9.7827 	EXP 	window1: blendMode = 'avg'
9.7995 	EXP 	window1: blendMode = 'avg'
9.8164 	EXP 	window1: blendMode = 'avg'
9.8327 	EXP 	window1: blendMode = 'avg'
9.8493 	EXP 	window1: blendMode = 'avg'
9.8661 	EXP 	window1: blendMode = 'avg'
9.8828 	EXP 	window1: blendMode = 'avg'
9.8997 	EXP 	window1: blendMode = 'avg'
9.9315 	EXP 	text: autoDraw = False
10.6998 	DATA 	Keypress: down
11.8670 	DATA 	Keypress: left
11.8680 	EXP 	New trial (rep=0, index=2): {'Load': 42, 'Trial': 3, 'Probe': 1, 'corr': u'left', 'ITI': 1}
11.8820 	EXP 	polygon: autoDraw = False
11.8820 	EXP 	text: autoDraw = False
11.8820 	EXP 	polygon: autoDraw = True
12.8823 	EXP 	polygon: autoDraw = False
12.8836 	EXP 	window1: blendMode = 'avg'
12.8988 	EXP 	text: autoDraw = True
12.9000 	EXP 	window1: blendMode = 'avg'
12.9165 	EXP 	window1: blendMode = 'avg'
12.9332 	EXP 	window1: blendMode = 'avg'
12.9500 	EXP 	window1: blendMode = 'avg'
12.9665 	EXP 	window1: blendMode = 'avg'
12.9836 	EXP 	window1: blendMode = 'avg'
12.9999 	EXP 	window1: blendMode = 'avg'
13.0169 	EXP 	window1: blendMode = 'avg'
13.0334 	EXP 	window1: blendMode = 'avg'
13.0500 	EXP 	window1: blendMode = 'avg'
13.0666 	EXP 	window1: blendMode = 'avg'
13.0835 	EXP 	window1: blendMode = 'avg'
13.0999 	EXP 	window1: blendMode = 'avg'
13.1167 	EXP 	window1: blendMode = 'avg'
13.1334 	EXP 	window1: blendMode = 'avg'
13.1500 	EXP 	window1: blendMode = 'avg'
13.1666 	EXP 	window1: blendMode = 'avg'
13.1832 	EXP 	window1: blendMode = 'avg'
13.2002 	EXP 	window1: blendMode = 'avg'
13.2166 	EXP 	window1: blendMode = 'avg'
13.2332 	EXP 	window1: blendMode = 'avg'
13.2500 	EXP 	window1: blendMode = 'avg'
13.2671 	EXP 	window1: blendMode = 'avg'
13.2834 	EXP 	window1: blendMode = 'avg'
13.2999 	EXP 	window1: blendMode = 'avg'
13.3165 	EXP 	window1: blendMode = 'avg'
13.3333 	EXP 	window1: blendMode = 'avg'
13.3499 	EXP 	window1: blendMode = 'avg'
13.3669 	EXP 	window1: blendMode = 'avg'
13.3833 	EXP 	window1: blendMode = 'avg'
13.4003 	EXP 	window1: blendMode = 'avg'
13.4167 	EXP 	window1: blendMode = 'avg'
13.4334 	EXP 	window1: blendMode = 'avg'
13.4499 	EXP 	window1: blendMode = 'avg'
13.4668 	EXP 	window1: blendMode = 'avg'
13.4832 	EXP 	window1: blendMode = 'avg'
13.5000 	EXP 	window1: blendMode = 'avg'
13.5169 	EXP 	window1: blendMode = 'avg'
13.5334 	EXP 	window1: blendMode = 'avg'
13.5500 	EXP 	window1: blendMode = 'avg'
13.5665 	EXP 	window1: blendMode = 'avg'
13.5829 	EXP 	window1: blendMode = 'avg'
13.6001 	EXP 	window1: blendMode = 'avg'
13.6165 	EXP 	window1: blendMode = 'avg'
13.6331 	EXP 	window1: blendMode = 'avg'
13.6499 	EXP 	window1: blendMode = 'avg'
13.6663 	EXP 	window1: blendMode = 'avg'
13.6834 	EXP 	window1: blendMode = 'avg'
13.7000 	EXP 	window1: blendMode = 'avg'
13.7169 	EXP 	window1: blendMode = 'avg'
13.7335 	EXP 	window1: blendMode = 'avg'
13.7500 	EXP 	window1: blendMode = 'avg'
13.7670 	EXP 	window1: blendMode = 'avg'
13.7835 	EXP 	window1: blendMode = 'avg'
13.8000 	EXP 	window1: blendMode = 'avg'
13.8171 	EXP 	window1: blendMode = 'avg'
13.8336 	EXP 	window1: blendMode = 'avg'
13.8502 	EXP 	window1: blendMode = 'avg'
13.8824 	EXP 	text: autoDraw = False
14.5176 	DATA 	Keypress: escape
