Load,Trial,Probe,corr,ITI,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
45,1,1,left,1,0,0,0,0,2018_Apr_26_2126,59.9315566644,untitled,001,,
35,2,0,down,1,0,1,1,1,2018_Apr_26_2126,59.9315566644,untitled,001,,
