7.4215 	EXP 	window1: blendMode = 'avg'
7.4381 	EXP 	window1: blendMode = 'avg'
7.4547 	EXP 	window1: blendMode = 'avg'
7.4713 	EXP 	window1: blendMode = 'avg'
7.4879 	EXP 	window1: blendMode = 'avg'
7.5046 	EXP 	window1: blendMode = 'avg'
7.5214 	EXP 	window1: blendMode = 'avg'
7.5380 	EXP 	window1: blendMode = 'avg'
7.5547 	EXP 	window1: blendMode = 'avg'
7.5712 	EXP 	window1: blendMode = 'avg'
7.5880 	EXP 	window1: blendMode = 'avg'
7.6049 	EXP 	window1: blendMode = 'avg'
7.6215 	EXP 	window1: blendMode = 'avg'
7.6382 	EXP 	window1: blendMode = 'avg'
7.6547 	EXP 	window1: blendMode = 'avg'
7.6715 	EXP 	window1: blendMode = 'avg'
7.6880 	EXP 	window1: blendMode = 'avg'
7.7045 	EXP 	window1: blendMode = 'avg'
7.7213 	EXP 	window1: blendMode = 'avg'
7.7382 	EXP 	window1: blendMode = 'avg'
7.7548 	EXP 	window1: blendMode = 'avg'
7.7715 	EXP 	window1: blendMode = 'avg'
7.7882 	EXP 	window1: blendMode = 'avg'
7.8047 	EXP 	window1: blendMode = 'avg'
7.8213 	EXP 	window1: blendMode = 'avg'
7.8380 	EXP 	window1: blendMode = 'avg'
7.8546 	EXP 	window1: blendMode = 'avg'
7.8714 	EXP 	window1: blendMode = 'avg'
7.8882 	EXP 	window1: blendMode = 'avg'
7.9050 	EXP 	window1: blendMode = 'avg'
7.9213 	EXP 	window1: blendMode = 'avg'
7.9376 	EXP 	window1: blendMode = 'avg'
7.9546 	EXP 	window1: blendMode = 'avg'
7.9717 	EXP 	window1: blendMode = 'avg'
7.9880 	EXP 	window1: blendMode = 'avg'
8.0050 	EXP 	window1: blendMode = 'avg'
8.0213 	EXP 	window1: blendMode = 'avg'
8.0381 	EXP 	window1: blendMode = 'avg'
8.0548 	EXP 	window1: blendMode = 'avg'
8.0713 	EXP 	New trial (rep=0, index=2): {'Load': 42, 'Trial': 3, 'Probe': 1, 'corr': u'left', 'ITI': 1}
8.0873 	EXP 	polygon: autoDraw = False
8.0873 	EXP 	text: autoDraw = False
8.0873 	EXP 	polygon: autoDraw = True
8.5301 	DATA 	Keypress: escape
