trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,17.77353296999354,None,17.357371184996737,None,left,0.34897505799744977,17.357371184996737,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
1,0,1,0,19.07498223399307,None,18.79128224199667,None,left,0.2228246009981376,18.79128224199667,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
2,0,2,0,20.358609467999486,None,20.106615619995864,None,left,0.16927504899649648,20.106615619995864,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
3,0,3,0,21.640975445996446,None,21.391916857995966,None,left,0.1930736119975336,21.391916857995966,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
4,0,4,0,22.941521256994747,None,22.69122002399672,None,left,0.19448841499979608,22.69122002399672,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
5,0,5,0,24.24109450099786,None,23.974851746999775,None,left,0.199035655001353,23.974851746999775,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
6,0,6,0,25.54227490899939,None,25.25768933299696,None,left,0.23407561700150836,25.25768933299696,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
7,0,7,0,26.892202883995196,None,26.574855063998257,None,left,0.23851599999761675,26.574855063998257,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
8,0,8,0,28.17490458999964,None,27.92565361999732,None,left,0.19173795999813592,27.92565361999732,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
9,0,9,0,29.492402849995415,None,29.20884211899829,None,left,0.22441117400012445,29.20884211899829,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
10,0,10,0,30.809409239998786,None,30.524575778996223,None,left,0.2075232720017084,30.524575778996223,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
11,0,11,0,32.108721116994275,None,31.8418334779999,None,left,0.16918616899783956,31.8418334779999,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
12,0,12,0,33.37573716299812,None,33.142088648994104,None,left,0.16085184500116156,33.142088648994104,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
13,0,13,0,34.6758767029969,None,34.3925591829975,None,left,0.2052569939987734,34.3925591829975,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
14,0,14,0,35.95892878899758,None,35.70865266799956,None,left,0.180069406000257,35.70865266799956,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
15,0,15,0,37.12591685899679,None,37.008639327999845,None,left,0.05402787300408818,37.008639327999845,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
16,0,16,0,38.45901410299848,None,38.1586170179944,None,left,0.2289289979962632,38.1586170179944,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
17,0,17,0,39.76002984099614,None,39.47591821599781,None,left,0.2267088149965275,39.47591821599781,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
18,0,18,0,41.07694083199749,None,40.79288518099929,None,left,0.22345835599844577,40.79288518099929,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
19,0,19,0,42.409184621996246,None,42.110218288995384,None,left,0.21605736299534328,42.110218288995384,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
20,0,20,0,43.71038111499365,None,43.42671786099527,None,left,0.20746815799793694,43.42671786099527,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
