Word,NoS,bio,freqQ,Repeat,Length,LgSUBTLWF,Ortho_N,Phono_N,BG_Freq_By_Pos,NoF,CNC,FAM,IMG,Sem_N,NoSa,cognate,ITI,Order,Corr
sheep,L,B,5,2,5,2.836,7,27,1149,21,622,507,596,2439,3,n,3.89,1,1
eagle,H,B,1,2,5,1.851,0,5,778,17,616,465,601,2513,5,y,3.77,2,1
accordion,L,A,1,1,9,1.833,0,0,2051,9,586,394,576,1277,1,y,6.7,3,2
willow,L,B,3,3,6,2.504,3,10,1532,10,589,425,565,1642,2,n,3.78,4,1
spider,L,B,4,2,6,2.713,0,4,2305,16,607,526,597,1858,3,n,5.06,5,1
missile,L,A,1,3,7,1.82,1,7,2432,17,597,504,602,2059,2,y,7.24,6,2
dog,H,B,5,1,3,3.993,13,9,344,18,610,598,636,3050,8,y,9.41,7,1
dress,H,A,5,3,5,3.648,3,4,1357,13,595,588,595,2608,21,n,5.95,8,2
rabbit,H,B,5,3,6,3.029,0,2,937,14,635,523,611,2171,4,n,0.25,9,1
oven,L,A,4,3,4,2.657,5,1,635,14,593,577,599,1712,1,n,2.84,10,2
leopard,L,B,1,1,7,1.663,2,6,1030,9,595,431,635,1639,2,y,2.79,11,1
thimble,L,A,1,2,7,1.176,0,3,1444,11,529,397,570,636,2,n,1.69,12,2
worm,H,B,4,3,4,2.714,9,10,1103,11,611,498,578,1519,5,n,6.34,13,1
tomato,L,B,5,3,6,2.827,0,0,1454,13,662,574,610,1459,2,y,4.53,14,1
chain,H,A,2,1,5,2.263,1,28,1568,11,595,513,559,2915,11,y,12.41,15,2
cabbage,H,B,2,1,7,2.173,0,0,1324,16,611,504,573,1375,4,n,2.44,16,1
birch,H,B,1,1,5,1.903,2,21,915,10,620,518,561,1697,5,n,15.2,17,1
ribbon,H,A,2,2,6,2.241,1,3,915,8,600,480,563,1700,4,y,7.51,18,2
stove,L,A,3,1,5,2.589,7,6,1281,13,591,525,592,1379,2,n,3.91,19,2
harp,H,A,1,1,4,2.107,6,8,1500,8,591,430,621,1614,5,y,8.06,20,2
pear,L,B,4,1,4,2.654,16,32,1647,13,634,567,590,1033,2,y,3.09,21,1
clock,L,A,5,2,5,3.476,8,13,1103,14,591,608,614,2344,2,n,14.82,22,2
cherry,H,B,3,1,6,2.292,2,16,1409,12,611,514,582,2035,5,y,5.37,23,1
cage,H,A,1,2,4,1.255,13,15,962,13,593,487,585,2152,6,y,12.38,24,2
brush,H,A,4,2,5,2.747,3,4,921,12,589,579,570,2029,14,y,5.98,25,2
cloak,L,A,2,3,5,2.188,2,13,778,8,543,423,518,1572,3,n,4.75,26,2
tortoise,L,B,1,3,8,1.914,0,0,2123,14,602,415,539,1285,1,y,3.15,27,1
lemon,H,B,4,1,5,2.788,1,4,1017,17,608,518,632,1773,5,n,11.44,28,1
spinach,L,B,2,3,7,2.117,0,1,1303,11,589,452,606,715,2,n,4.1,29,1
cabin,H,A,1,3,5,1.903,0,0,1496,10,596,523,582,2197,4,y,13.38,30,2
pig,H,B,5,2,3,3.3,12,20,522,22,614,509,635,2080,9,n,2.78,31,1
cathedral,L,A,2,2,9,2.176,0,0,2861,13,553,440,599,2379,3,y,4.11,32,2
vine,L,B,3,2,4,2.48,12,22,1065,8,601,411,564,1655,1,y,4.49,33,1
axe,L,A,3,3,3,2.398,9,6,46,16,623,461,597,1856,3,y,1.59,34,2
shirt,L,A,5,3,5,3.374,5,15,1121,18,616,612,612,2057,2,n,6.52,35,2
desk,L,A,5,1,4,3.35,3,3,1461,16,583,583,574,2094,1,n,10.95,36,2
rocket,H,A,3,2,6,2.324,7,4,1507,12,645,525,612,2351,7,y,2.44,37,2
flea,L,B,2,1,4,2.23,5,16,924,17,625,515,606,1347,1,n,6.94,38,1
pepper,H,B,4,2,6,2.653,2,6,2531,12,591,554,587,1956,6,n,9.82,39,1
skunk,H,B,2,3,5,2.223,3,3,530,12,648,519,652,1129,5,n,7.16,40,1
sparrow,L,B,2,2,7,2.127,0,0,1213,13,629,523,583,1480,2,n,8.85,41,1
ant,L,B,3,1,3,2.438,7,9,790,12,604,511,613,1565,1,n,5.11,42,1
door,H,A,5,1,4,4.173,6,35,955,13,606,630,599,2943,5,n,9.94,43,2
mat,H,A,2,3,3,2.253,18,31,1237,13,513,490,537,1527,10,n,21.64,44,2
crow,H,B,3,3,4,2.358,6,6,1334,13,590,490,578,1926,9,n,9.87,45,1
apple,L,B,5,1,5,3.082,2,4,968,19,620,598,637,2493,2,n,3,46,1
broom,H,A,3,1,5,2.387,4,8,1476,13,613,547,608,1238,5,n,4.56,47,2
shrimp,H,B,3,2,6,2.648,1,2,1140,13,629,546,618,1570,4,n,3.02,48,1
hammer,H,A,4,1,6,2.804,2,6,2424,16,605,515,618,2139,9,n,11.02,49,2
lamp,L,A,3,2,4,2.61,10,9,923,14,615,578,575,1835,2,y,4.33,50,2
tiger,L,B,4,3,5,2.707,4,6,1929,24,611,513,606,2338,2,y,9.72,51,1
sleigh,L,A,2,1,6,2.225,0,13,704,9,613,531,608,1173,2,n,3.3,52,2
pigeon,L,B,1,2,6,1.653,0,0,1155,14,609,499,610,1507,1,y,1.49,53,1
beetle,H,B,1,3,6,2.025,0,6,1619,13,619,503,640,1397,5,n,9.91,54,1
jacket,H,A,5,2,6,3.232,2,2,1459,15,635,596,611,1849,7,n,2.58,55,2
shovel,H,A,3,3,6,2.544,1,3,1385,15,581,528,538,1130,5,n,4.89,56,2
peach,H,B,2,2,5,2.037,7,25,1816,15,617,536,613,1540,5,y,12.12,57,1
brick,L,A,4,1,5,2.761,6,12,1385,9,610,529,574,2384,2,y,10.23,58,2
helmet,L,A,4,2,6,2.685,0,0,1415,12,602,528,620,1987,2,n,2.31,59,2
pencil,H,A,4,3,6,2.702,0,1,1612,16,617,598,607,1602,5,n,1.6,60,2
