Word,NoS,bio,freqQ,Repeat,Length,LgSUBTLWF,Ortho_N,Phono_N,BG_Freq_By_Pos,NoF,CNC,FAM,IMG,Sem_N,NoSb,cognate,ITI,Order,Corr
leopard,L,B,1,1,7,1.663,2,6,1030,9,595,431,635,1639,2,y,12.01,1,1
apple,L,B,5,1,5,3.082,2,4,968,19,620,598,637,2493,2,n,10.43,2,1
flea,L,B,2,1,4,2.23,5,16,924,17,625,515,606,1347,1,n,5.92,3,1
ribbon,H,A,2,2,6,2.241,1,3,915,8,600,480,563,1700,4,y,3.28,4,2
jacket,H,A,5,2,6,3.232,2,2,1459,15,635,596,611,1849,7,n,1.72,5,2
door,H,A,5,1,4,4.173,6,35,955,13,606,630,599,2943,5,n,1.87,6,2
lamp,L,A,3,2,4,2.61,10,9,923,14,615,578,575,1835,2,y,6.59,7,2
tortoise,L,B,1,3,8,1.914,0,0,2123,14,602,415,539,1285,1,y,7.36,8,1
harp,H,A,1,1,4,2.107,6,8,1500,8,591,430,621,1614,5,y,2.88,9,2
thimble,L,A,1,2,7,1.176,0,3,1444,11,529,397,570,636,2,n,9.59,10,2
oven,L,A,4,3,4,2.657,5,1,635,14,593,577,599,1712,1,n,15.38,11,2
sleigh,L,A,2,1,6,2.225,0,13,704,9,613,531,608,1173,2,n,4.96,12,2
lemon,H,B,4,1,5,2.788,1,4,1017,17,608,518,632,1773,5,n,3.05,13,1
brush,H,A,4,2,5,2.747,3,4,921,12,589,579,570,2029,14,y,9.15,14,2
spinach,L,B,2,3,7,2.117,0,1,1303,11,589,452,606,715,2,n,12.51,15,1
cathedral,L,A,2,2,9,2.176,0,0,2861,13,553,440,599,2379,3,y,7.52,16,2
tomato,L,B,5,3,6,2.827,0,0,1454,13,662,574,610,1459,2,y,8.03,17,1
cherry,H,B,3,1,6,2.292,2,16,1409,12,611,514,582,2035,5,y,1.83,18,1
vine,L,B,3,2,4,2.48,12,22,1065,8,601,411,564,1655,1,y,4.78,19,1
helmet,L,A,4,2,6,2.685,0,0,1415,12,602,528,620,1987,2,n,2.53,20,2
birch,H,B,1,1,5,1.903,2,21,915,10,620,518,561,1697,5,n,4.24,21,1
skunk,H,B,2,3,5,2.223,3,3,530,12,648,519,652,1129,5,n,4.92,22,1
pigeon,L,B,1,2,6,1.653,0,0,1155,14,609,499,610,1507,1,y,7.31,23,1
mat,H,A,2,3,3,2.253,18,31,1237,13,513,490,537,1527,10,n,5.34,24,2
sheep,L,B,5,2,5,2.836,7,27,1149,21,622,507,596,2439,3,n,14.11,25,1
accordion,L,A,1,1,9,1.833,0,0,2051,9,586,394,576,1277,1,y,5.6,26,2
ant,L,B,3,1,3,2.438,7,9,790,12,604,511,613,1565,1,n,11.22,27,1
peach,H,B,2,2,5,2.037,7,25,1816,15,617,536,613,1540,5,y,14.35,28,1
spider,L,B,4,2,6,2.713,0,4,2305,16,607,526,597,1858,3,n,1.48,29,1
cloak,L,A,2,3,5,2.188,2,13,778,8,543,423,518,1572,3,n,7.45,30,2
pear,L,B,4,1,4,2.654,16,32,1647,13,634,567,590,1033,2,y,6.14,31,1
shovel,H,A,3,3,6,2.544,1,3,1385,15,581,528,538,1130,5,n,2.99,32,2
