trials.thisTrialN,trials.stepSize,trials.intensity,date,frameRate,expName,session,participant,
0,0.8,0.5,2018_Nov_16_1544,59.8971511643682,untitled,001,,
1,0.8,0.5,2018_Nov_16_1544,59.8971511643682,untitled,001,,
