key_resp_2.keys,key_resp_2.rt,date,expName,frameRate,ParticipantID,
5,1.20062589645,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
,,2018_Mar_14_2142,LexicalDecision,59.7764460248,99999999,
